"Latest: Wavelength (nm)","Latest: Intensity (rel)"
380,0.00713138713139
382,0.00606504606505
384,0.00730558330558
386,0.00773781773782
388,0.00728116328116
390,0.00707115107115
392,0.00939023939024
394,0.00662670662671
396,0.00651925851926
398,0.00722906722907
400,0.00785259185259
402,0.0072713952714
404,0.00727975727976
406,0.00582572982573
408,0.00723232323232
410,0.00747733747734
412,0.00649483849484
414,0.00707847707848
416,0.00712487512488
418,0.00712487512488
420,0.00744477744478
422,0.00698323898324
424,0.007224997225
426,0.00749117549118
428,0.00717371517372
430,0.00707847707848
432,0.00737395937396
434,0.00759536759537
436,0.00707115107115
438,0.00759862359862
440,0.00778258778259
442,0.00721278721279
444,0.00762385762386
446,0.0080626040626
448,0.00808376808377
450,0.00840936840937
452,0.00799422799423
454,0.00854367854368
456,0.0081847041847
458,0.00779072779073
460,0.0075742035742
462,0.0073877973878
464,0.00839471639472
466,0.00756280756281
468,0.00836052836053
470,0.00886927886928
472,0.00884892884893
474,0.00869264069264
476,0.0108839308839
478,0.0119893439893
480,0.00875124875125
482,0.00862426462426
484,0.00853960853961
486,0.0084289044289
488,0.00891811891812
490,0.0087365967366
492,0.00875938875939
494,0.00804306804307
496,0.00831168831169
498,0.00843867243867
500,0.00827098827099
502,0.00816028416028
504,0.00904835904836
506,0.00910126910127
508,0.0089807969808
510,0.00946756946757
512,0.00973293373293
514,0.00965885965886
516,0.00929337329337
518,0.00902800902801
520,0.00969386169386
522,0.0101147001147
524,0.00948384948385
526,0.00972804972805
528,0.0124671624672
530,0.016594960595
532,0.0113682613683
534,0.00943989343989
536,0.00894253894254
538,0.00932267732268
540,0.00936581936582
542,0.0096262996263
544,0.0100943500944
546,0.0103344803345
548,0.0100503940504
550,0.0095041995042
552,0.0100780700781
554,0.00968897768898
556,0.0105257705258
558,0.0104077404077
560,0.00998201798202
562,0.0104280904281
564,0.0103336663337
566,0.0101635401635
568,0.0103792503793
570,0.00940570540571
572,0.00974432974433
574,0.0100821400821
576,0.0102213342213
578,0.0102652902653
580,0.010074000074
582,0.00998201798202
584,0.0102408702409
586,0.0105094905095
588,0.0107243867244
590,0.0115799015799
592,0.0117956117956
594,0.0120235320235
596,0.0115554815555
598,0.0113357013357
600,0.0109083509084
602,0.0107878787879
604,0.0133381433381
606,0.0133381433381
608,0.0147927627928
610,0.0138591038591
612,0.0144085544086
614,0.0141114441114
616,0.0142652902653
618,0.0147097347097
620,0.0158574758575
622,0.0163092463092
624,0.0164044844045
626,0.0151696451696
628,0.0155155955156
630,0.0148847448847
632,0.0145778665779
634,0.0134765234765
636,0.0145306545307
638,0.014607984608
640,0.0142701742702
642,0.0146413586414
644,0.014782994783
646,0.0148236948237
648,0.0156376956377
650,0.0151004551005
652,0.0149637029637
654,0.0146568246568
656,0.0155481555482
658,0.0171842971843
660,0.017224997225
662,0.0173226773227
664,0.0158721278721
666,0.0156824656825
668,0.0160243460243
670,0.0183686683687
672,0.0166104266104
674,0.0175628075628
676,0.0167406667407
678,0.0176197876198
680,0.0181187701188
682,0.0186657786658
684,0.0206519406519
686,0.0210385910386
688,0.0212176712177
690,0.019373959374
692,0.0207862507863
694,0.0214293114293
696,0.0210508010508
698,0.0200943500944
700,0.0241236541237
702,0.0209807969808
704,0.022165982166
706,0.0270214970215
708,0.0262278462278
710,0.0276808376808
712,0.0287268287268
714,0.0315147815148
716,0.0347219447219
718,0.0330939430939
720,0.0375424575425
722,0.0387797387797
724,0.0380837680838
726,0.0461952861953
728,0.0492396492396
730,0.0517671217671
732,0.0558086358086
734,0.0559185259185
736,0.0630288230288
738,0.0660162060162
740,0.0651655751656
742,0.0798135198135
744,0.0827317127317
746,0.0912176712177
748,0.105915037344
750,0.123142783143
752,0.126887186887
754,0.150953120953
756,0.157416287416
758,0.204502164502
760,0.221640951641
762,0.277705257705
764,0.323981203981
766,0.422324712325
768,0.471986901987
770,0.546469720755
772,0.642210752211
774,0.790338550339
776,0.826406926407
778,0.826406926407
780,0.826406926407
782,0.826406926407
784,0.826406926407
786,0.826406926407
788,0.826406926407
790,0.803757353757
792,0.510476930477
794,0.348376808377
796,0.24543012543
798,0.157123247123
800,0.100717060717
802,0.0664883264883
804,0.0367668839097
806,0.00319698819699
808,0
810,0
812,0
814,0
816,0
818,0
820,0
822,0
824,0
826,0
828,0
830,0
832,0
834,0
836,0
838,0
840,0
842,0
844,0
846,0
848,0
850,0
852,0
854,0
856,0
858,0
860,0
862,0
864,0
866,0
868,0
870,0
872,0
874,0
876,0
878,0
880,0
882,0
884,0
886,0
888,0
890,0
892,0
894,0
896,0
898,0
900,0
902,0
904,0
906,0
908,0
910,0
912,0
914,0
916,0
918,0
920,0
922,0
924,0
926,0
928,0
930,0
932,0
934,0
936,0
938,0
940,0
942,0
944,0
946,0
948,0
950,0
